,cid,podcaster_id,title,episode_count,sub_count,primary_cid
0,2598530,17293748.0,رادیو راه با مجتبی شکوری,120,776663,4894772.0
1,4894772,17293748.0,رادیو راه با مجتبی شکوری,120,1468883,
2,1423226,7697322.0,Ehsanoo,31,68543,
3,1482589,16024112.0,ChannelB پادکست فارسی,96,30996,2356600.0
4,2356600,16024112.0,ChannelB پادکست فارسی,96,931763,
5,2356152,16024112.0,ChannelB پادکست فارسی,96,7862,2356600.0
6,5628636,16024112.0,ChannelB پادکست فارسی,96,1218,2356600.0
7,4945126,19016209.0,Chai With Banafsheh/ چای با بنفشه,97,37985,
8,2856532,19016209.0,Chai With Banafsheh/ چای با بنفشه,97,15290,4945126.0
9,2400145,15814516.0,صلح درون,177,747731,
10,2480138,12347707.0,پلی لیست | PlayList,288,725447,
11,3070774,,Bargozidegan,69,28,
12,343520,10049203.0,پادکست – جادی دات نت | کیبرد آزاد,131,71174,
13,22150,10049203.0,پادکست – جادی دات نت | کیبرد آزاد,20,58406,343520.0
14,5733701,,پادکست – جادی دات نت | کیبرد آزاد,0,0,
15,5733702,,Radio Marz | پادکست فارسی رادیو مرز,0,0,
16,1475573,14078348.0,Radio Marz | پادکست فارسی رادیو مرز,61,165684,
17,1373088,14078348.0,Radio Marz | پادکست فارسی رادیو مرز,61,956,1475573.0
18,5692816,14078348.0,Radio Marz | پادکست فارسی رادیو مرز,61,181,1475573.0
19,4821566,14078348.0,Radio Marz | پادکست فارسی رادیو مرز,61,588,1475573.0
20,1391124,7859627.0,پادکست ناوکست / Navcast,75,1,2005284.0
21,1379691,7859627.0,پادکست ناوکست / Navcast,75,139470,2005284.0
22,2005284,7859627.0,پادکست ناوکست / Navcast,75,187946,
23,314119,9225691.0,StringCast | استرینگ‌کست,114,62001,5026144.0
24,5026144,9225691.0,StringCast | استرینگ‌کست,108,149131,
25,3952055,9225691.0,StringCast | استرینگ‌کست,114,61599,5026144.0
26,2700460,13480902.0,10 صبح,0,30,4628819.0
27,4491839,13480902.0,10 صبح,138,71,4628819.0
28,4514197,23064620.0,Pause | پاز,3,53,4935191.0
29,2440907,13480902.0,10 صبح,0,27178,4628819.0
30,4497821,,بورسا,11,25,
31,5635670,23064620.0,پاز | Pause,3,0,4935191.0
32,5229933,27379575.0,هوماک,39,64,
33,4862763,,Fahim-English Podcast,2,137,3496364.0
34,3496364,,Fahim-English Podcast,2,348,
35,339381,26144944.0,Sexology,97,1338,4991222.0
36,4991222,26144944.0,Sexology,97,33883,
37,2929151,26144944.0,Sexology,97,24677,4991222.0
38,2070814,,Hellitalk,43,1279,
39,1477141,9217357.0,Hellitalk,43,272161,
40,2215963,14330993.0,مدرسه زندگی فارسی,321,89979,
41,2623694,,Deutsch - warum nicht?| قسمت اول | یاد‌گیری آلمانی | Deutsche Welle,26,7327,
42,22513,,Deutsch - warum nicht?| قسمت اول | یاد‌گیری آلمانی | Deutsche Welle,26,924,2623694.0
43,2728449,,https://t.me/radioshereparsi رادیو شعر پارسی,402,10501,
